Date,Nifty500_PE,Nifty500_PB,Earning_Yields_%,3M_Yield_India,2Y_Yield_India,10Y_Yield_India,India_Yield_Spread,10Y-3M_Yield_India,10Y-2Y_Yield_India,3M_Yield_US,2Y_Yield_US,10Y_Yield_US,10Y-3M_Yield_US,10Y-2Y_Yield_US,pct_change
2001-07-11,14.96,1.65,6.49,7.1,7.51,9.26,2.77,2.16,1.74,3.59,4.12,5.29,1.7,1.17,3.4323616810527797
2011-07-27,18.67,3.03,4.98,8.45,8.3,8.45,3.47,0.0,0.15,0.07,0.45,2.98,2.91,2.54,0.47548593948300044
2005-07-21,18.35,3.38,7.01,5.45,6.09,7.16,0.15,1.71,1.07,3.29,3.95,4.28,0.99,0.34,1.0881810603955642
2003-08-26,17.12,2.16,6.89,4.55,4.76,5.24,-1.65,0.69,0.48,1.0,1.9,4.48,3.47,2.58,2.2305447012852504
1999-03-01,14.07,1.68,7.41,9.35,11.18,12.23,4.82,2.88,1.05,4.7,5.2,5.39,0.69,0.19,1.155148056057866
2006-03-24,21.13,4.31,5.12,6.47,6.77,7.39,2.26,0.92,0.62,4.63,4.72,4.68,0.05,-0.04,0.6277223511899486
2011-12-28,15.83,2.26,5.87,8.5,8.14,8.47,2.6,-0.03,0.33,0.01,0.27,1.92,1.91,1.65,1.051741170659422
2005-08-10,17.81,3.41,6.84,5.24,6.01,7.02,0.18,1.78,1.01,3.38,4.12,4.4,1.01,0.28,0.9899829854537614
2013-11-13,17.11,2.33,5.8,8.95,8.49,8.91,3.11,-0.04,0.42,0.08,0.31,2.72,2.64,2.4,1.0818696975935338
2008-09-18,14.79,2.86,5.76,8.7,8.58,8.37,2.61,-0.33,-0.21,0.23,1.7,3.55,3.32,1.85,0.46621973341746203
2013-03-22,16.96,2.43,5.72,8.0,7.8,7.96,2.23,-0.04,0.16,0.07,0.25,1.93,1.86,1.67,1.2221137473038937
2009-08-24,19.23,3.14,4.8,3.38,5.89,7.33,2.53,3.95,1.45,0.16,1.02,3.47,3.31,2.45,0.5975314521570028
2013-06-26,16.82,2.39,5.9,7.5,7.75,7.57,1.68,0.07,-0.18,0.06,0.38,2.54,2.48,2.16,1.156602467996771
2002-07-02,13.71,1.72,6.3,5.85,6.55,7.43,1.13,1.58,0.88,1.73,2.77,4.73,3.0,1.96,3.3827081602658318
2005-06-30,18.02,3.35,6.99,5.4,6.1,6.91,-0.08,1.51,0.81,3.1,3.65,3.92,0.82,0.27,1.2758629734550415
1999-02-19,13.57,1.62,7.72,9.45,11.22,12.23,4.51,2.78,1.0,4.54,4.96,5.08,0.54,0.12,1.0903103044496483
2002-09-11,12.12,1.55,6.73,5.72,5.93,7.17,0.44,1.45,1.24,1.7,2.17,4.06,2.36,1.89,4.255786473900049
2011-09-21,17.23,2.61,5.39,8.45,8.32,8.33,2.93,-0.12,0.01,0.01,0.2,1.86,1.85,1.66,0.7398417077254822
2008-02-07,20.18,5.02,4.57,7.2,7.39,7.47,2.9,0.27,0.08,2.05,2.08,3.77,1.72,1.69,0.08865003904276336
2000-11-08,22.04,2.3,5.22,9.7,10.34,11.26,6.04,1.56,0.92,6.39,5.97,5.86,-0.53,-0.11,1.41522036682179
2012-12-05,18.32,2.6,5.36,8.17,8.0,8.17,2.81,-0.01,0.17,0.1,0.24,1.59,1.49,1.35,0.8477642664629357
2005-05-26,17.32,3.24,7.17,5.2,6.04,6.97,-0.2,1.77,0.93,2.92,3.64,4.09,1.17,0.45,1.3562628618466182
1999-02-10,13.19,1.58,7.85,9.2,11.19,12.22,4.37,3.02,1.03,4.46,4.79,4.93,0.47,0.15,1.0414170003914367
2003-04-07,13.65,1.59,7.1,5.32,5.58,5.97,-1.13,0.65,0.39,1.16,1.6,3.98,2.82,2.38,5.052956989247312
2012-02-01,17.76,2.5,5.36,8.85,7.93,8.14,2.78,-0.71,0.21,0.06,0.23,1.83,1.77,1.6,0.7193233840511952
2003-05-07,13.16,1.53,9.09,4.65,5.1,5.94,-3.15,1.29,0.84,1.12,1.42,3.68,2.56,2.26,4.469948403291033
2014-03-06,18.34,2.49,5.55,9.17,8.57,8.79,3.24,-0.38,0.22,0.05,0.35,2.74,2.68,2.39,0.8356959932245769
2009-05-14,15.98,2.48,5.89,3.25,4.81,6.39,0.5,3.14,1.58,0.16,0.85,3.09,2.93,2.24,0.797239819816586
2010-09-21,22.81,3.47,3.94,6.15,6.99,7.97,4.03,1.82,0.97,0.16,0.42,2.58,2.41,2.15,0.4353170454430111
